team,final_price,total_pts,avg_xG_diff,total_clean_sheets,total_card_points,avg_delta_P,team_normalized
Manchester City,225.2172189760822,452,1.4211296930379747,84,273,0.6229712386869761,manchester city
Liverpool,214.2350700102104,412,1.0566281803797468,74,319,0.5683336816428378,liverpool
Arsenal,209.9086521906672,403,0.7234077677215189,77,329,0.5468092148789413,arsenal
Chelsea,199.49024919932168,337,0.592288258227848,68,441,0.4949763641757298,chelsea
Manchester United,188.64203500578742,327,,58,410,0.44100514928252443,manchester united
Aston Villa,187.23825153606523,313,-0.022154719620253192,59,431,0.43402115192072255,aston villa
Tottenham Hotspur,186.85209432252887,315,,55,401,0.432099971753875,tottenham hotspur
Newcastle United,186.13625569224143,303,,57,369,0.4285385855335395,newcastle united
Brighton and Hove Albion,182.35719867197398,279,,51,392,0.40973730682574117,brighton and hove albion
West Ham United,178.72468287120026,266,,41,336,0.3916650889114441,west ham united
Crystal Palace,178.00900036299743,256,-0.2304044987341772,55,386,0.3881044794178977,crystal palace
Everton,176.9013081544975,245,-0.26690449303797464,57,424,0.3825935729079478,everton
Wolverhampton Wanderers,175.67593098119855,227,,45,417,0.3764971690606893,wolverhampton wanderers
Brentford,165.7172366421228,216,0.094748775,38,303,0.40317323093326873,brentford
Fulham,157.92546427915494,192,-0.4090018441666667,35,344,0.3553709464978831,fulham
Bournemouth,147.10702854023938,161,-0.3447572716049383,30,284,0.376856228321915,bournemouth
Nottingham Forest,146.91020263938805,148,,25,274,0.3752816211151044,nottingham forest
Leeds United,142.29740221528073,139,-0.40063085087719297,24,275,0.33837921772224583,leeds united
Burnley,137.16306806983144,108,-0.6344055491228071,24,221,0.29730454455865146,burnley
Sunderland,105.11560144560103,19,,4,21,0.46505467687282137,sunderland
